identifier	count
M2216	5405
M2217	6407
M2218	19344
M2219	10743
M2220	21138
M2221	10215
M2222	14478
M2223	9692
M2224	9488
M2225	964
M2226	7089
M2227	10147
M2228	8122
M2229	7587
M2230	12925
M2231	121
M2232	13305
M2233	8449
M2234	1905
M2235	5656
M2236	721
M2237	9053
M2238	6467
M2239	4638
M2240	40
M2241	33732
M2242	9201
M2243	19344
M2244	7459
M2245	21138
M2246	9685
M2247	9091
M2248	4996
M2249	878
M2250	14585
M2251	13556
M2252	33732
M2253	7078
M2254	10192
M2255	24608
M2256	21138
M2257	4554
M2258	12608
M2259	207
M2260	876
M2261	653
M2262	33732
M2263	22685
M2264	10192
M2265	24608
M2266	9852
M2267	7309
M2268	6421
M2269	10389
M2270	11399
M2271	8986
M2272	5502
M2273	17436
M2274	9646
M2275	7472
M2276	2732
M2277	23544
M2278	4754
M2279	6713
M2280	10909
M2281	14398
M2282	4421
M2283	9352
M2284	7905
M2285	13053
M2286	11438
M2287	13563
M2288	11745
M2289	22685
M2290	13355
M2291	24608
M2292	20894
M2293	8719
M2294	10563
M2295	7256
M2296	14476
M2297	7904
M2298	6855
M2299	11648
M2300	22685
M2301	3791
M2302	21465
M2303	20894
M2304	7843
M2305	8371
M2306	703
M2307	200
M2308	194
M2309	24998
M2310	24064
M2311	11554
M2312	21465
M2313	16737
M2314	6583
M2315	6878
M2316	24998
M2317	24064
M2318	10882
M2319	12104
M2320	10451
M2321	11610
M2322	8922
M2323	3481
M2324	9652
M2325	22133
M2326	678
M2327	459
M2328	6600
M2329	10180
M2330	16178
M2331	9279
M2332	10846
M2333	8
M2334	398
M2335	399
M2336	7451
M2337	16737
M2338	9039
M2339	10963
M2340	6607
M2341	484
M2342	475
M2343	8284
M2344	699
M2345	17297
M2346	8066
M2347	20719
M2348	9557
M2349	14205
M2350	8939
M2351	10963
M2352	2849
M2353	931
M2354	1214
M2355	17297
M2356	28684
M2357	20719
M2358	5794
M2359	14205
M2360	11187
M2361	6418
M2362	9835
M2363	28684
M2364	6397
M2365	4302
M2366	8889
M2367	12320
M2368	7772
M2369	8187
M2370	13071
M2371	2014
M2372	514
M2373	372
M2374	9303
M2375	3815
M2376	8512
M2377	2057
M2378	3862
M2379	24
M2380	2630
M2381	6452
M2382	5381
M2383	12715
M2384	14205
M2385	10949
M2386	9685
M2387	12066
M2388	14429
M2389	10964
M2390	14424
M2391	34882
M2392	28684
M2393	5482
M2394	9999
M2395	13296
M2396	10949
M2397	8339
M2398	34882
M2399	13861
M2400	12873
M2401	385
M2402	7
M2403	648
M2404	6803
M2405	13296
M2406	10925
M2407	12792
M2408	11754
M2409	8817
M2410	14125
M2411	9461
M2412	6532
M2413	10118
M2414	7637
M2415	7618
M2416	5702
M2417	20127
M2418	9536
M2419	7522
M2420	16424
M2421	6110
M2422	23196
M2423	24285
M2424	34882
M2425	5830
M2426	5263
M2427	19256
M2428	9641
M2429	10925
M2430	16629
M2431	20158
M2432	32920
M2433	21633
M2434	30652
M2435	20473
M2436	15348
M2437	12157
M2438	12780
M2439	19256
M2440	7916
M2441	5203
M2442	7718
M2443	20488
M2444	24089
M2445	57331
M2446	309
M2447	16055
M2448	14176
M2449	4644
M2450	7916
M2451	45826
M2452	6665
M2453	20488
M2454	24089
M2455	57331
M2456	11192
M2457	38
M2458	10915
M2459	3726
M2460	20305
M2461	13602
M2462	9336
M2463	16884
M2464	6659
M2465	15810
M2466	8522
M2467	11388
M2468	762
M2469	24958
M2470	9112
M2471	17270
M2472	10308
M2473	17405
M2474	6226
M2475	3674
M2476	45826
M2477	8799
M2478	20488
M2479	24089
M2480	57331
M2481	12712
M2482	11805
M2483	14742
M2484	10053
M2485	5983
M2486	6860
M2487	45826
M2488	8884
M2489	49456
M2490	24089
M2491	57331
M2492	88
M2493	1434
M2494	397
M2495	7741
M2496	4163
M2497	45826
M2498	5010
M2499	49456
M2500	37203
M2501	57331
M2502	684
M2503	2
M2504	18152
M2505	3091
M2506	26619
M2507	13413
M2508	703
M2509	317
M2510	14415
M2511	11224
M2512	26715
M2513	9483
M2514	2564
M2515	3824
M2516	4979
M2517	5029
M2518	8132
M2519	3614
M2520	4260
M2521	8702
M2522	45826
M2523	7819
M2524	49456
M2525	37203
M2526	11836
M2527	1461
M2528	10927
M2529	18927
M2530	4904
M2531	11345
M2532	45826
M2533	24201
M2534	49456
M2535	13330
M2536	25889
M2537	43
M2538	13613
M2539	10142
M2540	7088
M2541	5767
M2542	22744
M2543	24201
M2544	10869
M2545	13710
M2546	25889
M2547	12438
M2548	20749
M2549	10788
M2550	13150
M2551	5881
M2552	5965
M2553	28545
M2554	16097
M2555	28085
M2556	6599
M2557	18944
M2558	17802
M2559	24340
M2560	14641
M2561	10209
M2562	15203
M2563	19056
M2564	11925
M2565	5433
M2566	14211
M2567	22744
M2568	7927
M2569	22115
M2570	9916
M2571	14064
M2572	13722
M2573	11108
M2574	20876
M2575	2068
M2576	6756
M2577	22744
M2578	13282
M2579	13937
M2580	669
M2581	9247
M2582	22115
M2583	8024
M2584	9196
M2585	22980
M2586	7186
M2587	8687
M2588	13282
M2589	2641
M2590	3725
M2591	15445
M2592	5181
M2593	304
M2594	5045
M2595	7671
M2596	11210
M2597	1099
M2598	12951
M2599	10934
M2600	887
M2601	2255
M2602	533
M2603	4508
M2604	2958
M2605	5712
M2606	13552
M2607	1042
M2608	16690
M2609	11091
M2610	22980
M2611	16010
M2612	9922
M2613	6515
M2614	11234
M2615	16690
M2616	9307
M2617	3331
M2618	4476
M2619	812
M2620	8206
M2621	16010
M2622	8773
M2623	20779
M2624	16596
M2625	13347
M2626	141
M2627	7866
M2628	17418
M2629	7724
M2630	9736
M2631	14953
M2632	1418
M2633	20779
M2634	4195
M2635	17418
M2636	9717
M2637	15250
M2638	9774
M2639	15175
M2640	6985
M2641	6347
M2642	9214
M2643	14151
M2644	8349
M2645	5780
M2646	9731
M2647	19497
M2648	10680
M2649	5522
M2650	1535
M2651	11403
M2652	866
M2653	4885
M2654	6386
M2655	12685
M2656	14953
M2657	8109
M2658	10827
M2659	3035
M2660	24581
M2661	4904
M2662	8165
M2663	327
M2664	17418
M2665	6533
M2666	6634
M2667	19138
M2668	8109
M2669	5892
M2670	327
M2671	16085
M2672	9008
M2673	191
M2674	159
M2675	310
M2676	5088
M2677	19138
M2678	14339
M2679	6391
M2680	28
M2681	4
M2682	502
M2683	689
M2684	86
M2685	124
M2686	3176
M2687	172
M2688	25
M2689	182
M2690	379
M2691	54
M2692	145
M2693	294
M2694	227
M2695	1230
M2696	327
M2697	6831
M2698	12726
M2699	23399
M2700	5123
M2701	14339
M2702	9935
M2703	744
M2704	118
M2705	17561
M2706	8937
M2707	59
M2708	327
M2709	7619
M2710	9201
M2711	23399
M2712	12774
M2713	4220
M2714	13923
M2715	14058
M2716	22631
M2717	13192
M2718	185
M2719	63
M2720	18929
M2721	11917
M2722	12774
M2723	13684
M2724	12076
M2725	312
M2726	774
M2727	420
M2728	494
M2729	127
M2730	530
M2731	574
M2732	529
M2733	99
M2734	14
M2735	173
M2736	63
M2737	521
M2738	347
M2739	160
M2740	22631
M2741	5886
M2742	16991
M2743	6592
M2744	13684
M2745	5805
M2746	553
M2747	4684
M2748	9479
M2749	280
M2750	96
M2751	322
M2752	351
M2753	13985
M2754	10387
M2755	447
M2756	18285
M2757	16991
M2758	14870
M2759	19555
M2760	13780
M2761	111
M2762	21641
M2763	11007
M2764	172
M2765	166
M2766	80
M2767	10415
M2768	6909
M2769	19555
M2770	20423
M2771	180
M2772	157
M2773	8551
M2774	10212
M2775	9233
M2776	9220
M2777	239
M2778	52
M2779	553
M2780	172
M2781	230
M2782	415
M2783	1094
M2784	487
M2785	1308
M2786	273
M2787	365
M2788	1025
M2789	71
M2790	21641
M2791	13112
M2792	6248
M2793	14144
M2794	9609
M2795	20423
M2796	6
M2797	20753
M2798	5036
M2799	387
M2800	793
M2801	1126
M2802	6164
M2803	14144
M2804	6291
M2805	10344
M2806	691
M2807	210
M2808	65
M2809	8
M2810	20753
M2811	8638
M2812	16267
M2813	4690
M2814	9065
M2815	10344
M2816	418
M2817	11093
M2818	6445
M2819	68
M2820	13494
M2821	17728
M2822	491
M2823	917
M2824	9064
M2825	1222
M2826	14
M2827	634
M2828	659
M2829	290
M2830	329
M2831	698
M2832	525
M2833	743
M2834	166
M2835	243
M2836	16267
M2837	14010
M2838	12432
M2839	10876
M2840	67
M2841	249
M2842	935
M2843	6
M2844	167
M2845	613
M2846	21396
M2847	13848
M2848	5764
M2849	16436
M2850	12268
M2851	10876
M2852	5
M2853	21396
M2854	8542
M2855	425
M2856	267
M2857	308
M2858	8087
M2859	16436
M2860	11200
M2861	12763
M2862	108
M2863	264
M2864	18291
M2865	3141
M2866	14914
M2867	7057
M2868	1029
M2869	805
M2870	1269
M2871	643
M2872	333
M2873	542
M2874	306
M2875	184
M2876	16
M2877	443
M2878	7
M2879	647
M2880	1141
M2881	6284
M2882	3228
M2883	4198
M2884	16363
M2885	11200
M2886	5546
M2887	1141
M2888	16371
M2889	10778
M2890	107
M2891	643
M2892	1095
M2893	13293
M2894	16363
M2895	8244
M2896	21243
M2897	210
M2898	470
M2899	96
M2900	31250
M2901	11762
M2902	11219
M2903	24230
M2904	8089
M2905	9423
M2906	21243
M2907	31250
M2908	13058
M2909	18839
M2910	24230
M2911	25149
M2912	6940
M2913	11903
M2914	9762
M2915	6459
M2916	20342
M2917	31250
M2918	24074
M2919	18839
M2920	10489
M2921	25149
M2922	5641
M2923	7570
M2924	8375
M2925	14840
M2926	9434
M2927	11319
M2928	12856
M2929	16299
M2930	10398
M2931	24074
M2932	9987
M2933	18542
M2934	25149
M2935	7043
M2936	6790
M2937	762
M2938	355
M2939	273
M2940	10064
M2941	16880
M2942	8678
M2943	18542
M2944	15666
M2945	7796
M2946	2375
M2947	1979
M2948	16880
M2949	10785
M2950	2792
M2951	1479
M2952	55
M2953	8328
M2954	15666
M2955	4868
M2956	10442
M2957	5965
M2958	9626
M2959	13610
M2960	1979
M2961	17202
M2962	18071
M2963	6263
M2964	910
M2965	4666
M2966	10442
M2967	1979
M2968	249
M2969	470
M2970	381
M2971	227
M2972	33
M2973	292
M2974	910
M2975	227
M2976	11
M2977	1979
M2978	283
M2979	27
M2980	399
M2981	183
M2982	212
M2983	511
M2984	163
M2985	227
M2986	544
M2987	868
M2988	6
M2989	184
M2990	380
M2991	41
M2992	1465
M2993	74
M2994	1036
M2995	77
M2996	544
M2997	380
M2998	13
M2999	184
M3000	26
M3001	373
M3002	168
M3003	238
M3004	1036
M3005	190
M3006	185
M3007	28
M3008	98
M3009	29
M3010	5
M3011	646
M3012	8
M3013	348
M3014	311
M3015	190
M3016	189
M3017	758
M3018	568
M3019	552
M3020	447
M3021	339
M3022	348
M3023	108
M3024	2
M3025	310
M3026	273
M3027	381
M3028	427
M3029	339
M3030	338
M3031	108
M3032	78
M3033	599
M3034	3016
M3035	1717
M3036	1747
M3037	1405
M3038	950
M3039	1099
M3040	894
M3041	2402
M3042	1427
M3043	2255
M3044	1246
M3045	1002
M3046	518
M3047	2275
M3048	2016
M3049	920
M3050	1211
M3051	2402
M3052	1680
M3053	3404
M3054	2006
M3055	3618
M3056	2306
M3057	3478
M3058	12744
M3059	5948
M3060	5486
M3061	2091
M3062	2898
M3063	3404
M3064	2582
M3065	2815
M3066	20912
M3067	2794
M3068	1549
M3069	5948
M3070	5486
M3071	1206
M3072	2586
M3073	1803
M3074	3408
M3075	1783
M3076	556
M3077	2794
M3078	2042
M3079	1688
M3080	5486
M3081	1803
M3082	886
M3083	19810
M3084	23270
M3085	26561
M3086	1201
M3087	944
M3088	2784
M3089	1172
M3090	1498
M3091	1803
M3092	3837
M3093	2114
M3094	1663
M3095	4058
M3096	2147
M3097	40871
M3098	26561
M3099	1940
M3100	2113
M3101	1166
M3102	3837
M3103	689
M3104	40871
M3105	26561
M3106	1615
M3107	3039
M3108	6637
M3109	5735
M3110	2113
M3111	1747
M3112	3181
M3113	1255
M3114	2853
M3115	1689
M3116	1238
M3117	13293
M3118	16368
M3119	3430
M3120	5853
M3121	4039
M3122	3181
M3123	1740
M3124	27761
M3125	1796
M3126	24493
M3127	20202
M3128	8829
M3129	3430
M3130	5853
M3131	1878
M3132	795
M3133	1360
M3134	55125
M3135	13796
M3136	27331
M3137	26469
M3138	40263
M3139	24461
M3140	5853
M3141	25622
M3142	1404
M3143	5304
M3144	20401
M3145	15714
M3146	28009
M3147	29542
M3148	19891
M3149	45253
M3150	18066
M3151	61732
M3152	17344
M3153	5304
M3154	19681
M3155	10806
M3156	45253
M3157	23956
M3158	61732
M3159	41148
M3160	25761
M3161	21424
M3162	28636
M3163	20105
M3164	14356
M3165	3293
M3166	24336
M3167	17948
M3168	32405
M3169	16283
M3170	14226
M3171	30501
M3172	14025
M3173	14115
M3174	10891
M3175	5493
M3176	62604
M3177	61732
M3178	32630
M3179	33957
M3180	672
M3181	1207
M3182	24336
M3183	12743
M3184	2546
M3185	14410
M3186	1016
M3187	960
M3188	1413
M3189	8722
M3190	14326
M3191	1501
M3192	1276
M3193	2739
M3194	984
M3195	1071
M3196	1567
M3197	3790
M3198	804
M3199	1011
M3200	2964
M3201	15799
M3202	999
M3203	3324
M3204	3528
M3205	62604
M3206	22115
M3207	48898
M3208	19331
M3209	1964
M3210	2954
M3211	1519
M3212	2398
M3213	3885
M3214	16957
M3215	29409
M3216	37076
M3217	12295
M3218	48898
M3219	23091
M3220	3288
M3221	6832
M3222	2028
M3223	44440
M3224	27931
M3225	51213
M3226	37076
M3227	54626
M3228	19167
M3229	24078
M3230	4884
M3231	8401
M3232	26764
M3233	1604
M3234	34810
M3235	34614
M3236	11049
M3237	2859
M3238	11970
M3239	9923
M3240	23336
M3241	1462
M3242	9767
M3243	3479
M3244	3470
M3245	43758
M3246	17198
M3247	2594
M3248	15921
M3249	15877
M3250	51213
M3251	25261
M3252	54626
M3253	20578
M3254	21871
M3255	49491
M3256	66589
M3257	79405
M3258	2666
M3259	16936
M3260	27202
M3261	19958
M3262	20811
M3263	54626
M3264	91084
M3265	20470
M3266	49491
M3267	66589
M3268	79405
M3269	2869
M3270	2563
M3271	2136
M3272	15895
M3273	29882
M3274	91084
M3275	27773
M3276	144949
M3277	66589
M3278	79405
M3279	6072
M3280	29869
M3281	32021
M3282	21078
M3283	31705
M3284	23745
M3285	5751
M3286	14698
M3287	16754
M3288	28497
M3289	15613
M3290	17080
M3291	16949
M3292	27045
M3293	30878
M3294	24369
M3295	6437
M3296	19072
M3297	19376
M3298	44388
M3299	91084
M3300	35361
M3301	144949
M3302	26294
M3303	79405
M3304	31191
M3305	34703
M3306	28072
M3307	7465
M3308	20349
M3309	27308
M3310	91084
M3311	24868
M3312	1793
M3313	2099
M3314	2451
M3315	144949
M3316	26294
M3317	16665
M3318	37390
M3319	19021
M3320	91084
M3321	17973
M3322	144949
M3323	19245
M3324	33497
M3325	19183
M3326	21405
M3327	15045
M3328	4255
M3329	27811
M3330	17873
M3331	14524
M3332	3618
M3333	955
M3334	10571
M3335	6744
M3336	12425
M3337	2943
M3338	1789
M3339	3590
M3340	1134
M3341	2158
M3342	3007
M3343	37390
M3344	28299
M3345	41208
M3346	24815
M3347	144949
M3348	33563
M3349	33497
M3350	2317
M3351	1111
M3352	1889
M3353	5808
M3354	21419
M3355	22630
M3356	41208
M3357	11292
M3358	1337
M3359	1766
M3360	1528
M3361	13032
M3362	33563
M3363	21167
M3364	46015
M3365	18491
M3366	41208
M3367	24319
M3368	65364
M3369	13558
M3370	17001
M3371	6137
M3372	1478
M3373	23805
M3374	2122
M3375	1723
M3376	712
M3377	14115
M3378	23534
M3379	8222
M3380	1761
M3381	3093
M3382	810
M3383	1544
M3384	3604
M3385	1030
M3386	3403
M3387	562
M3388	2275
M3389	46015
M3390	20470
M3391	33024
M3392	18686
M3393	65364
M3394	10172
M3395	20891
M3396	1543
M3397	3513
M3398	4027
M3399	10627
M3400	12054
M3401	33024
M3402	43326
M3403	2342
M3404	1631
M3405	849
M3406	65364
M3407	24689
M3408	14788
M3409	27585
M3410	41766
M3411	27451
M3412	43326
M3413	25114
M3414	12383
M3415	17251
M3416	16851
M3417	15393
M3418	35942
M3419	20017
M3420	25208
M3421	23558
M3422	17505
M3423	28511
M3424	21134
M3425	12833
M3426	10940
M3427	30077
M3428	18479
M3429	14160
M3430	19545
M3431	24508
M3432	7806
M3433	17263
M3434	17556
M3435	41766
M3436	37047
M3437	31225
M3438	25114
M3439	16001
M3440	15268
M3441	29496
M3442	31133
M3443	35601
M3444	17054
M3445	19436
M3446	37047
M3447	28552
M3448	20170
M3449	1932
M3450	16027
M3451	57916
M3452	33223
M3453	35854
M3454	34477
M3455	15387
M3456	30769
M3457	28552
M3458	57916
M3459	33223
M3460	16004
M3461	22845
M3462	14540
M3463	20545
M3464	30160
M3465	21516
M3466	15687
M3467	19668
M3468	38125
M3469	17340
M3470	16531
M3471	21720
M3472	1092
M3473	22712
M3474	12810
M3475	32408
M3476	22103
M3477	8411
M3478	1653
M3479	34477
M3480	15835
M3481	34209
M3482	21300
M3483	33379
M3484	27346
M3485	27433
M3486	13691
M3487	41536
M3488	17587
M3489	38997
M3490	48603
M3491	14459
M3492	34209
M3493	27707
M3494	2898
M3495	2395
M3496	1833
M3497	41536
M3498	34367
M3499	38997
M3500	48603
M3501	25002
M3502	17270
M3503	8343
M3504	23861
M3505	34367
M3506	30644
M3507	17726
M3508	21316
M3509	16255
M3510	26283
M3511	34298
M3512	17156
M3513	13652
M3514	15948
M3515	15920
M3516	17173
M3517	18993
M3518	5068
M3519	16180
M3520	34411
M3521	16176
M3522	1987
M3523	48603
M3524	16961
M3525	17101
M3526	33567
M3527	15964
M3528	24826
M3529	20747
M3530	16401
M3531	18360
M3532	50885
M3533	19676
M3534	29771
M3535	45505
M3536	9793
M3537	28798
M3538	33567
M3539	14102
M3540	16590
M3541	43872
M3542	723
M3543	2493
M3544	3377
M3545	45505
M3546	17500
M3547	46190
M3548	16313
M3549	19714
M3550	7453
M3551	43872
M3552	12471
M3553	28865
M3554	23064
M3555	15483
M3556	8526
M3557	4473
M3558	26875
M3559	2816
M3560	7125
M3561	17354
M3562	20078
M3563	15449
M3564	16199
M3565	8225
M3566	1087
M3567	24927
M3568	1981
M3569	20864
M3570	3436
M3571	23896
M3572	19292
M3573	46190
M3574	26627
M3575	11477
M3576	12348
M3577	20088
M3578	11209
M3579	38142
M3580	31804
M3581	10540
M3582	14115
M3583	24586
M3584	46190
M3585	14454
M3586	12023
M3587	31804
M3588	28325
M3589	1962
M3590	2214
M3591	2054
M3592	8703
M3593	24586
M3594	17508
M3595	21181
M3596	3727
M3597	17950
M3598	15439
M3599	10355
M3600	6554
M3601	38167
M3602	29954
M3603	24845
M3604	20848
M3605	18743
M3606	18277
M3607	16963
M3608	12917
M3609	22529
M3610	13321
M3611	28424
M3612	22558
M3613	1128
M3614	19211
M3615	74155
M3616	41779
M3617	24792
M3618	11450
M3619	16067
M3620	18620
M3621	21181
M3622	33921
M3623	3928
M3624	20462
M3625	20185
M3626	74155
M3627	41779
M3628	22225
M3629	31841
M3630	16067
M3631	18559
M3632	17828
M3633	5191
M3634	2664
M3635	2822
M3636	50511
M3637	14953
M3638	19632
M3639	31841
M3640	43080
M3641	16625
M3642	11395
M3643	8608
M3644	13595
M3645	4002
M3646	4374
M3647	1511
M3648	17164
M3649	5483
M3650	13884
M3651	9370
M3652	3920
M3653	4502
M3654	1617
M3655	2648
M3656	2551
M3657	1396
M3658	1721
M3659	3175
M3660	1166
M3661	28168
M3662	9022
M3663	19632
M3664	24716
M3665	43080
M3666	16369
M3667	20570
M3668	28168
M3669	8380
M3670	22986
M3671	3544
M3672	5613
M3673	1276
M3674	16062
M3675	43080
M3676	14414
M3677	55955
M3678	41863
M3679	24226
M3680	22986
M3681	5624
M3682	3030
M3683	3437
M3684	12207
M3685	13150
M3686	31722
M3687	55955
M3688	8373
M3689	23370
M3690	8861
M3691	23256
M3692	15047
M3693	6222
M3694	18804
M3695	26199
M3696	21048
M3697	4398
M3698	3630
M3699	1248
M3700	6854
M3701	17509
M3702	5616
M3703	3114
M3704	2085
M3705	860
M3706	1196
M3707	41863
M3708	33793
M3709	48212
M3710	17653
M3711	38437
M3712	12865
M3713	55955
M3714	37886
M3715	2453
M3716	7468
M3717	30515
M3718	39582
M3719	24476
M3720	48212
M3721	15503
M3722	38437
M3723	14218
M3724	23008
M3725	10776
M3726	27972
M3727	48262
M3728	26552
M3729	4497
M3730	6784
M3731	29725
M3732	38437
M3733	15917
M3734	59889
M3735	9298
M3736	27972
M3737	48262
M3738	11475
M3739	21497
M3740	19006
M3741	1715
M3742	14801
M3743	36639
M3744	20436
M3745	4851
M3746	957
M3747	1453
M3748	4713
M3749	2486
M3750	11128
M3751	4546
M3752	1212
M3753	2770
M3754	12371
M3755	10364
M3756	22878
M3757	59889
M3758	3930
M3759	23032
M3760	48262
M3761	2259
M3762	3900
M3763	2538
M3764	2171
M3765	1975
M3766	10278
M3767	12630
M3768	15392
M3769	59889
M3770	4048
M3771	1527
M3772	2109
M3773	1659
M3774	58593
M3775	54125
M3776	64734
M3777	27511
M3778	19547
M3779	59889
M3780	1053
M3781	2508
M3782	1867
M3783	1428
M3784	2518
M3785	969
M3786	1050
M3787	4985
M3788	1209
M3789	522
M3790	1109
M3791	2601
M3792	510
M3793	2628
M3794	1452
M3795	2494
M3796	58593
M3797	54125
M3798	64734
M3799	12714
M3800	17595
M3801	21296
M3802	652
M3803	16332
M3804	1341
M3805	2457
M3806	1060
M3807	11060
M3808	12512
M3809	12440
M3810	11353
M3811	54125
M3812	64734
M3813	25429
M3814	14038
M3815	12758
M3816	3501
M3817	1513
M3818	1261
M3819	15930
M3820	30260
M3821	22581
M3822	64734
M3823	48052
M3824	11283
M3825	16454
M3826	13225
M3827	30260
M3828	17781
M3829	1144
M3830	13561
M3831	26136
M3832	1459
M3833	21163
M3834	8237
M3835	1741
M3836	10547
M3837	1269
M3838	3121
M3839	1431
M3840	1961
M3841	2701
M3842	11841
M3843	1399
M3844	1124
M3845	1996
M3846	3448
M3847	14772
M3848	48052
M3849	34914
M3850	20536
M3851	2385
M3852	1549
M3853	1440
M3854	1779
M3855	19336
M3856	64218
M3857	19605
M3858	9976
M3859	24082
M3860	34914
M3861	21226
M3862	5625
M3863	2078
M3864	1161
M3865	16026
M3866	64218
M3867	18033
M3868	32460
M3869	24082
M3870	13493
M3871	15990
M3872	1388
M3873	18899
M3874	8083
M3875	960
M3876	14529
M3877	12864
M3878	9668
M3879	25539
M3880	25204
M3881	1497
M3882	21475
M3883	1201
M3884	12731
M3885	9840
M3886	1750
M3887	12949
M3888	2694
M3889	13892
M3890	15170
M3891	37792
M3892	64218
M3893	27096
M3894	32460
M3895	23629
M3896	9772
M3897	14662
M3898	2941
M3899	638
M3900	15393
M3901	12894
M3902	37792
M3903	64218
M3904	18987
M3905	26901
M3906	23629
M3907	29731
M3908	12716
M3909	3413
M3910	2866
M3911	1393
M3912	41340
M3913	22591
M3914	49207
M3915	26901
M3916	42718
M3917	10412
M3918	19111
M3919	11088
M3920	1147
M3921	23820
M3922	3651
M3923	1466
M3924	6426
M3925	20280
M3926	26524
M3927	715
M3928	15703
M3929	1332
M3930	1305
M3931	2527
M3932	1139
M3933	1795
M3934	692
M3935	1664
M3936	2612
M3937	41340
M3938	39520
M3939	49207
M3940	16061
M3941	42718
M3942	9211
M3943	15117
M3944	48293
M3945	39520
M3946	31357
M3947	2825
M3948	18444
M3949	1928
M3950	22126
M3951	42718
M3952	22738
M3953	27277
M3954	1884
M3955	5673
M3956	1477
M3957	48293
M3958	30892
M3959	28230
M3960	21028
M3961	39051
M3962	15131
M3963	27277
M3964	44683
M3965	14500
M3966	14806
M3967	25167
M3968	15018
M3969	14868
M3970	24313
M3971	15310
M3972	20711
M3973	32926
M3974	10389
M3975	10566
M3976	15242
M3977	27762
M3978	30668
M3979	40775
M3980	39806
M3981	13299
M3982	24253
M3983	39051
M3984	13083
M3985	15287
M3986	40775
M3987	39806
M3988	18062
M3989	12993
M3990	14992
M3991	12932
M3992	20630
M3993	17962
M3994	24253
M3995	15359
M3996	17859
M3997	20367
M3998	14970
M3999	1256
M4000	17631
M4001	25637
M4002	27527
M4003	43096
M4004	46337
M4005	15061
M4006	11434
M4007	20367
M4008	2414
M4009	728
M4010	1730
M4011	1039
M4012	1317
M4013	16922
M4014	1896
M4015	2613
M4016	4414
M4017	5245
M4018	643
M4019	951
M4020	1410
M4021	1289
M4022	1615
M4023	14080
M4024	27527
M4025	43096
M4026	46337
M4027	17148
M4028	14341
M4029	12790
M4030	1245
M4031	12262
M4032	1664
M4033	2808
M4034	1955
M4035	22789
M4036	14970
M4037	27579
M4038	21192
M4039	43096
M4040	46337
M4041	7792
M4042	14851
M4043	6121
M4044	5232
M4045	1275
M4046	1283
M4047	52778
M4048	16553
M4049	37672
M4050	46337
M4051	46003
M4052	11832
M4053	13680
M4054	796
M4055	1670
M4056	23891
M4057	1468
M4058	14037
M4059	19865
M4060	3769
M4061	596
M4062	711
M4063	28082
M4064	2653
M4065	2456
M4066	657
M4067	448
M4068	576
M4069	997
M4070	1996
M4071	3445
M4072	78340
M4073	7114
M4074	37672
M4075	17815
M4076	46003
M4077	8068
M4078	11165
M4079	78340
M4080	8693
M4081	21467
M4082	1363
M4083	7084
M4084	2156
M4085	19461
M4086	46003
M4087	20334
M4088	19236
M4089	2456
M4090	1506
M4091	1148
M4092	78340
M4093	7173
M4094	10108
M4095	25262
M4096	13969
M4097	20362
M4098	19236
M4099	15400
M4100	995
M4101	9516
M4102	1634
M4103	13296
M4104	16085
M4105	13965
M4106	12602
M4107	21653
M4108	31965
M4109	21870
M4110	5982
M4111	17112
M4112	2184
M4113	9138
M4114	21183
M4115	14813
M4116	1717
M4117	23938
M4118	18354
M4119	15812
M4120	25262
M4121	32392
M4122	21355
M4123	15268
M4124	22082
M4125	22945
M4126	19515
M4127	16382
M4128	17275
M4129	12351
M4130	12537
M4131	32392
M4132	16236
M4133	32664
M4134	22214
M4135	22945
M4136	16897
M4137	649
M4138	11177
M4139	7383
M4140	8951
M4141	11672
M4142	33197
M4143	32664
M4144	6287
M4145	38998
M4146	21624
M4147	516
M4148	11739
M4149	948
M4150	15763
M4151	1412
M4152	1252
M4153	23824
M4154	1023
M4155	768
M4156	2096
M4157	288
M4158	2273
M4159	1092
M4160	1396
M4161	3167
M4162	1187
M4163	1231
M4164	18766
M4165	21054
M4166	33197
M4167	29321
M4168	1962
M4169	2645
M4170	1814
M4171	2109
M4172	1403
M4173	6287
M4174	38998
M4175	17037
M4176	19123
M4177	11838
M4178	23850
M4179	29321
M4180	5188
M4181	52762
M4182	48375
M4183	1669
M4184	2198
M4185	1020
M4186	13945
M4187	11838
M4188	19452
M4189	56943
M4190	8371
M4191	52762
M4192	48375
M4193	1543
M4194	1657
M4195	6594
M4196	1147
M4197	17762
M4198	9261
M4199	1569
M4200	1606
M4201	680
M4202	2595
M4203	901
M4204	2003
M4205	1381
M4206	5435
M4207	1269
M4208	1155
M4209	15977
M4210	6402
M4211	19717
M4212	56943
M4213	8371
M4214	52384
M4215	48375
M4216	604
M4217	2578
M4218	727
M4219	1760
M4220	1937
M4221	12811
M4222	5899
M4223	20443
M4224	56943
M4225	1751
M4226	52384
M4227	13756
M4228	2111
M4229	470
M4230	1565
M4231	17078
M4232	24308
M4233	40197
M4234	56943
M4235	765
M4236	52384
M4237	13172
M4238	5483
M4239	16958
M4240	24987
M4241	8426
M4242	13260
M4243	26006
M4244	3154
M4245	2216
M4246	17413
M4247	8983
M4248	18043
M4249	4397
M4250	31132
M4251	19016
M4252	11780
M4253	3769
